scenario_id,rho_hat,rho_true,epsilon,policy,n_paths,mean_wealth,median_wealth,std_wealth,cvar_5,certainty_equivalent,mean_abs_inventory,inventory_variance,fill_rate,spread_capture,adverse_selection
rho0.920_eps0.0050,0.92,0.93,0.005,nominal_hawkes,160,-21.447925487714862,-19.961144730584188,9.695468061318397,-48.72957910884496,-22.4805398840344,2.4,9.470283018867923,0.31572500000000003,10.854712890624988,29.46276030592128
rho0.920_eps0.0050,0.92,0.93,0.005,robust_vol_only,160,-21.447826047090043,-19.96098348058488,9.695447429866958,-48.72943185884521,-22.480436211838402,2.4,9.470283018867923,0.31572500000000003,10.854812331249994,29.46276030592128
rho0.920_eps0.0050,0.92,0.93,0.005,robust_gamma,160,-21.435428721505343,-19.935949418083773,9.706055574923887,-48.713394684322935,-22.47030823854811,2.4,9.470283018867923,0.315675,10.867425781249986,29.45586349558537
rho0.920_eps0.0050,0.92,0.93,0.005,robust_gamma_abs,160,-20.928268476588283,-19.02362738572283,9.47591162586395,-46.834207809164184,-21.91162739710022,2.35625,9.133608490566038,0.31479999999999997,11.11498437499999,29.375887586983442
rho0.920_eps0.0050,0.92,0.93,0.005,liquidity_guard,160,-20.928268476588283,-19.02362738572283,9.47591162586395,-46.834207809164184,-21.91162739710022,2.35625,9.133608490566038,0.31479999999999997,11.11498437499999,29.375887586983442
rho0.920_eps0.0050,0.92,0.93,0.005,known_true_gamma_no_ambiguity,160,-21.43133311042103,-19.930293327525455,9.705711299552464,-48.70823404975873,-22.466145757157687,2.4,9.470283018867923,0.31566875,10.870819515306119,29.455336138327063
rho0.920_eps0.0200,0.92,0.93,0.02,as_poisson,160,-21.391243087499834,-20.489352612454823,9.715540247777408,-47.30018612860708,-22.390938795354746,2.7625,12.149528301886791,0.303775,10.43926795857988,27.793829548658323
rho0.920_eps0.0200,0.92,0.93,0.02,nominal_hawkes,160,-21.35145318919905,-20.381416808419544,9.719183514818319,-47.30407218136499,-22.351777524918905,2.75625,12.123860062893081,0.30365625,10.476513671874983,27.78531352180185
rho0.920_eps0.0200,0.92,0.93,0.02,robust_vol_only,160,-21.351076101699977,-20.380869808420925,9.719113539639356,-47.30362968136593,-22.35138676897987,2.75625,12.123860062893081,0.30365625,10.476890759374983,27.78531352180185
rho0.920_eps0.0200,0.92,0.93,0.02,robust_gamma,160,-21.293251553839287,-20.304619920722995,9.693431948701168,-47.19844011822962,-22.287444146614053,2.75,12.103144654088052,0.30354375,10.51366406249999,27.773873287788707
rho0.920_eps0.0200,0.92,0.93,0.02,robust_gamma_abs,160,-19.085463530428424,-18.324339371423743,8.743177721299014,-41.838373511123685,-19.88601143267412,2.60625,10.79933176100629,0.2993125,11.559074218749988,27.379030326626356
rho0.920_eps0.0200,0.92,0.93,0.02,liquidity_guard,160,-19.085463530428424,-18.324339371423743,8.743177721299014,-41.838373511123685,-19.88601143267412,2.60625,10.79933176100629,0.2993125,11.559074218749988,27.379030326626356
rho0.920_eps0.0200,0.92,0.93,0.02,known_true_gamma_no_ambiguity,160,-21.353640380160574,-20.35525290536006,9.73079989041546,-47.282906683917275,-22.35606551226201,2.75625,12.123860062893081,0.3036,10.487800382653052,27.77841565953475
