scenario_id,path_id,rho_hat,rho_true,epsilon,policy,terminal_wealth,final_inventory,abs_inventory,fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,arrival_simulator,dt,steps,audit_horizon,mean_total_events
rho0.920_eps0.0200_discrete,106,0.92,0.93,0.02,as_poisson,-8.579565012717174,0.0,0.0,128.0,0.32,3.8703786982248456,11.095338071792,47.52000000000021,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,107,0.92,0.93,0.02,as_poisson,-8.934460992068265,3.0,3.0,143.0,0.3575,4.5204213017751425,12.03837471652858,48.09999999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,108,0.92,0.93,0.02,as_poisson,-1.5710067348037007,-1.0,1.0,46.0,0.115,0.9251278106508877,3.7863341309344776,7.319999999999948,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,109,0.92,0.93,0.02,as_poisson,-1.1161944331246132,0.0,0.0,42.0,0.105,0.9101088757396452,3.010946372571439,25.07999999999998,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,110,0.92,0.93,0.02,as_poisson,-21.371971521669696,-3.0,3.0,148.0,0.37,7.22540710059171,12.676767435243718,157.73999999999978,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,111,0.92,0.93,0.02,as_poisson,-1.3904379367700304,-2.0,2.0,19.0,0.0475,0.4000520710059172,1.693274720539108,13.719999999999915,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,112,0.92,0.93,0.02,as_poisson,-6.399647141508136,0.0,0.0,37.0,0.0925,1.2600899408284025,2.5637761189506705,83.79999999999986,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,113,0.92,0.93,0.02,as_poisson,-6.290779385523046,-3.0,3.0,135.0,0.3375,4.685392899408277,12.649481484967097,45.599999999999895,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,114,0.92,0.93,0.02,as_poisson,-8.078592971844632,0.0,0.0,75.0,0.1875,1.9151893491124257,6.424789561632281,50.38000000000016,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,115,0.92,0.93,0.02,as_poisson,-2.424782637821728,-2.0,2.0,40.0,0.1,1.0901041420118345,3.233010378158369,66.25999999999989,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,116,0.92,0.93,0.02,as_poisson,-5.938854775153271,6.0,6.0,68.0,0.17,2.0101846153846155,5.901388090768705,79.93999999999994,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,117,0.92,0.93,0.02,as_poisson,-12.704259481424405,3.0,3.0,99.0,0.2475,4.455269822485203,8.750163945642157,87.45999999999987,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,118,0.92,0.93,0.02,as_poisson,-7.216305044373817,-2.0,2.0,61.0,0.1525,1.6701609467455618,5.296207203397486,53.69999999999987,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,119,0.92,0.93,0.02,as_poisson,-8.337886013767626,1.0,1.0,65.0,0.1625,1.9051751479289945,5.72345359605967,81.8599999999997,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,120,0.92,0.93,0.02,as_poisson,-21.266409469305056,3.0,3.0,192.0,0.48,7.540648520710052,17.281677720633922,69.45999999999992,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,121,0.92,0.93,0.02,as_poisson,-14.245645609278805,-1.0,1.0,108.0,0.27,4.520317159763308,9.200550980821518,147.9000000000001,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,122,0.92,0.93,0.02,as_poisson,-14.379797254011374,-3.0,3.0,212.0,0.53,10.055643786982237,20.261242700376414,120.45999999999981,discrete,0.02,400,8.0,226.7875
