policy,epsilon,rho,one_minus_rho,half_spread,raw_uncapped_half_spread,capped,smooth_region,finite_diff_d_half_drho,analytic_uncapped_d_half_drho,analytic_local_d_half_drho,abs_derivative_error,expected_critical_exponent
robust_gamma,0.01,0.995,0.0050000000000000044,0.1399999999999998,0.1399999999999998,False,True,48.00038400230357,47.99999999999987,47.99999999999987,0.0003840023036971729,3.0
robust_gamma_abs,0.01,0.995,0.0050000000000000044,1.5,16.09999999999996,True,False,0.0,9631.999999999967,0.0,0.0,4.0
nominal_hawkes,0.02,0.3,0.7,0.020004081632653062,0.020004081632653062,False,True,1.1661807630669035e-05,1.1661807580174929e-05,1.1661807580174929e-05,5.049410562796893e-14,3.0
robust_gamma,0.02,0.3,0.7,0.020008163265306123,0.020008163265306123,False,True,2.332361526133807e-05,2.332361516034986e-05,2.332361516034986e-05,1.0098820786780607e-13,3.0
robust_gamma_abs,0.02,0.3,0.7,0.020015743440233238,0.020015743440233238,False,True,6.164098311633389e-05,6.164098292378177e-05,6.164098292378177e-05,1.9255212387655346e-13,4.0
nominal_hawkes,0.02,0.5,0.5,0.020008,0.020008,False,True,3.200000004566347e-05,3.2e-05,3.2e-05,4.566347164757997e-14,3.0
robust_gamma,0.02,0.5,0.5,0.020016000000000003,0.020016000000000003,False,True,6.400000009132694e-05,6.400000000000001e-05,6.400000000000001e-05,9.132692974263279e-14,3.0
robust_gamma_abs,0.02,0.5,0.5,0.020040000000000002,0.020040000000000002,False,True,0.00022400000031964432,0.00022400000000000002,0.00022400000000000002,3.1964429475679623e-13,4.0
nominal_hawkes,0.02,0.7,0.30000000000000004,0.020022222222222223,0.020022222222222223,False,True,0.00014814814843706314,0.00014814814814814806,0.00014814814814814806,2.8891507784269133e-13,3.0
robust_gamma,0.02,0.7,0.30000000000000004,0.020044444444444445,0.020044444444444445,False,True,0.0002962962968741263,0.00029629629629629613,0.00029629629629629613,5.778301556853827e-13,3.0
robust_gamma_abs,0.02,0.7,0.30000000000000004,0.02017037037037037,0.02017037037037037,False,True,0.0016296296354097798,0.0016296296296296289,0.0016296296296296289,5.780150880499435e-12,4.0
nominal_hawkes,0.02,0.85,0.15000000000000002,0.02008888888888889,0.02008888888888889,False,True,0.0011851851956497055,0.0011851851851851845,0.0011851851851851845,1.0464520959832524e-11,3.0
robust_gamma,0.02,0.85,0.15000000000000002,0.020177777777777777,0.020177777777777777,False,True,0.002370370391299411,0.002370370370370369,0.002370370370370369,2.0929041919665048e-11,3.0
robust_gamma_abs,0.02,0.85,0.15000000000000002,0.021274074074074074,0.021274074074074074,False,True,0.024888889250544194,0.024888888888888877,0.024888888888888877,3.6165531680509844e-10,4.0
nominal_hawkes,0.02,0.92,0.07999999999999996,0.0203125,0.0203125,False,True,0.00781250024416233,0.007812500000000012,0.007812500000000012,2.4416231710067127e-10,3.0
robust_gamma,0.02,0.92,0.07999999999999996,0.020625,0.020625,False,True,0.01562500048832466,0.015625000000000028,0.015625000000000028,4.883246307318956e-10,3.0
robust_gamma_abs,0.02,0.92,0.07999999999999996,0.028125000000000015,0.028125000000000015,False,True,0.3007812655029201,0.3007812500000006,0.3007812500000006,1.5502919503695978e-08,4.0
nominal_hawkes,0.02,0.97,0.030000000000000027,0.02222222222222222,0.02222222222222222,False,True,0.14814818106998728,0.14814814814814775,0.14814814814814775,3.2921839532296104e-08,3.0
robust_gamma,0.02,0.97,0.030000000000000027,0.02444444444444444,0.02444444444444444,False,True,0.29629636213997457,0.2962962962962955,0.2962962962962955,6.584367906459221e-08,3.0
robust_gamma_abs,0.02,0.97,0.030000000000000027,0.17037037037036998,0.17037037037037,False,True,14.962968482852652,14.962962962962912,14.962962962962912,5.519889739957762e-06,4.0
nominal_hawkes,0.02,0.985,0.015000000000000013,0.028888888888888874,0.028888888888888874,False,True,1.1851862386839407,1.185185185185182,1.185185185185182,1.0534987586741096e-06,3.0
robust_gamma,0.02,0.985,0.015000000000000013,0.037777777777777743,0.03777777777777775,False,True,2.3703724773678814,2.370370370370364,2.370370370370364,2.106997517348219e-06,3.0
robust_gamma_abs,0.02,0.985,0.015000000000000013,1.214074074074071,1.2140740740740712,False,True,238.22257444203356,238.22222222222143,238.22222222222143,0.0003522198121288511,4.0
nominal_hawkes,0.02,0.995,0.0050000000000000044,0.09999999999999985,0.09999999999999985,False,True,32.000256001535945,31.99999999999991,31.99999999999991,0.0002560015360337786,3.0
robust_gamma,0.02,0.995,0.0050000000000000044,0.17999999999999972,0.17999999999999972,False,True,64.00051200307189,63.99999999999983,63.99999999999983,0.0005120030720604518,3.0
robust_gamma_abs,0.02,0.995,0.0050000000000000044,1.5,32.099999999999916,True,False,0.0,19231.999999999935,0.0,0.0,4.0
nominal_hawkes,0.05,0.3,0.7,0.020004081632653062,0.020004081632653062,False,True,1.1661807630669035e-05,1.1661807580174929e-05,1.1661807580174929e-05,5.049410562796893e-14,3.0
robust_gamma,0.05,0.3,0.7,0.020014285714285714,0.020014285714285714,False,True,4.0816326707341624e-05,4.081632653061225e-05,4.081632653061225e-05,1.767293722389901e-13,3.0
robust_gamma_abs,0.05,0.3,0.7,0.0200332361516035,0.0200332361516035,False,True,0.00013660974608462268,0.00013660974593919205,0.00013660974593919205,1.4543062392367856e-13,4.0
nominal_hawkes,0.05,0.5,0.5,0.020008,0.020008,False,True,3.200000004566347e-05,3.2e-05,3.2e-05,4.566347164757997e-14,3.0
robust_gamma,0.05,0.5,0.5,0.020028,0.020028,False,True,0.00011200000007308599,0.00011200000000000001,0.00011200000000000001,7.308597357955776e-14,3.0
robust_gamma_abs,0.05,0.5,0.5,0.020088,0.020088,False,True,0.0005120000007306155,0.0005120000000000001,0.0005120000000000001,7.306154379410623e-13,4.0
nominal_hawkes,0.05,0.7,0.30000000000000004,0.020022222222222223,0.020022222222222223,False,True,0.00014814814843706314,0.00014814814814814806,0.00014814814814814806,2.8891507784269133e-13,3.0
robust_gamma,0.05,0.7,0.30000000000000004,0.020077777777777778,0.020077777777777778,False,True,0.0005185185196164571,0.0005185185185185182,0.0005185185185185182,1.0979389055906785e-12,3.0
robust_gamma_abs,0.05,0.7,0.30000000000000004,0.020392592592592594,0.020392592592592594,False,True,0.0038518518659555905,0.0038518518518518502,0.0038518518518518502,1.4103740311049995e-11,4.0
nominal_hawkes,0.05,0.85,0.15000000000000002,0.02008888888888889,0.02008888888888889,False,True,0.0011851851956497055,0.0011851851851851845,0.0011851851851851845,1.0464520959832524e-11,3.0
robust_gamma,0.05,0.85,0.15000000000000002,0.02031111111111111,0.02031111111111111,False,True,0.004148148185034177,0.004148148148148146,0.004148148148148146,3.68860315555497e-11,3.0
robust_gamma_abs,0.05,0.85,0.15000000000000002,0.02305185185185185,0.02305185185185185,False,True,0.06044444533288593,0.06044444444444442,0.06044444444444442,8.884415078624919e-10,4.0
nominal_hawkes,0.05,0.92,0.07999999999999996,0.0203125,0.0203125,False,True,0.00781250024416233,0.007812500000000012,0.007812500000000012,2.4416231710067127e-10,3.0
robust_gamma,0.05,0.92,0.07999999999999996,0.02109375,0.02109375,False,True,0.027343750854481416,0.02734375000000004,0.02734375000000004,8.544813745459123e-10,3.0
robust_gamma_abs,0.05,0.92,0.07999999999999996,0.03984375000000003,0.03984375000000003,False,True,0.7402344133911436,0.7402343750000016,0.7402343750000016,3.83911420431815e-08,4.0
nominal_hawkes,0.05,0.97,0.030000000000000027,0.02222222222222222,0.02222222222222222,False,True,0.14814818106998728,0.14814814814814775,0.14814814814814775,3.2921839532296104e-08,3.0
robust_gamma,0.05,0.97,0.030000000000000027,0.027777777777777766,0.027777777777777766,False,True,0.518518633744782,0.5185185185185172,0.5185185185185172,1.1522626486293319e-07,3.0
robust_gamma_abs,0.05,0.97,0.030000000000000027,0.39259259259259155,0.3925925925925916,False,True,37.18519893552977,37.185185185185055,37.185185185185055,1.375034471351455e-05,4.0
nominal_hawkes,0.05,0.985,0.015000000000000013,0.028888888888888874,0.028888888888888874,False,True,1.1851862386839407,1.185185185185182,1.185185185185182,1.0534987586741096e-06,3.0
robust_gamma,0.05,0.985,0.015000000000000013,0.05111111111111105,0.05111111111111106,False,True,4.148151835393359,4.148148148148137,4.148148148148137,3.687245222039337e-06,3.0
robust_gamma_abs,0.05,0.985,0.015000000000000013,1.5,2.991851851851844,True,False,0.0,593.7777777777758,0.0,0.0,4.0
nominal_hawkes,0.05,0.995,0.0050000000000000044,0.09999999999999985,0.09999999999999985,False,True,32.000256001535945,31.99999999999991,31.99999999999991,0.0002560015360337786,3.0
robust_gamma,0.05,0.995,0.0050000000000000044,0.2999999999999995,0.2999999999999995,False,True,112.00089600537545,111.9999999999997,111.9999999999997,0.0008960053757505193,3.0
robust_gamma_abs,0.05,0.995,0.0050000000000000044,1.5,80.09999999999978,True,False,0.0,48031.99999999984,0.0,0.0,4.0
